record_id,human_gene,donor_species,donor_sci_name,condition,chromosome,sequence_similarity,expression_correlation,protein_interaction_degree,go_term_overlap,conservation_score,disease_gene_association_score,synteny_score,regulatory_region_similarity,num_shared_go_terms,species_regen_score,known_therapy_target,in_clinical_trial,primary_pathway,target_label
GB-ALS-PLA-13639,TBK1,planaria,Schmidtea mediterranea,als,18,0.5809,0.4656,2,0.4506,0.4684,0.6324,0.1296,0.2919,2,0.99,0,0,FoxO signaling,0
GB-DIA-BAB-17042,HNF4A,baboon,Papio anubis,diabetes,14,0.8877,0.3793,4,0.4224,0.7077,0.4759,0.4437,0.4723,0,0.94,0,0,MAPK signaling,0
GB-DIA-PIG-16510,PPARG,pig,Sus scrofa,diabetes,21,0.9366,0.3985,4,0.3147,0.7543,0.244,0.1004,0.465,2,0.84,0,0,DNA repair,0
GB-HEA-PLA-8866,TNNT2,planaria,Schmidtea mediterranea,heart_disease,10,0.451,0.3927,4,0.4181,0.3419,0.2832,0.396,0.2016,1,0.99,0,0,Wnt signaling,0
GB-DIA-GEC-17843,LEPR,gecko,Gekko gecko,diabetes,13,0.5782,0.107,9,0.209,0.484,0.0824,0.0528,0.2835,2,0.82,0,0,Hedgehog,1
GB-PAR-BAB-9976,GBA,baboon,Papio anubis,parkinsons,4,0.99,0.25,4,0.5856,0.8259,0.3227,0.2711,0.1578,0,0.94,0,0,Notch signaling,0
GB-SPI-MOU-0344,NT3,mouse,Mus musculus,spinal_cord_injury,6,0.8607,0.1809,7,0.2388,0.6701,0.2249,0.589,0.0855,3,0.85,0,0,TGF-beta,0
GB-DIA-GEC-17994,IRS2,gecko,Gekko gecko,diabetes,6,0.6635,0.2985,4,0.4117,0.5308,0.3437,0.1892,0.3321,2,0.82,0,0,JAK-STAT,1
GB-HEA-AXO-8062,TPM1,axolotl,Ambystoma mexicanum,heart_disease,6,0.8034,0.4016,1,0.3018,0.6438,0.2674,0.1608,0.3395,0,0.95,0,0,TGF-beta,0
GB-ALS-HOR-12550,MATR3,horse,Equus caballus,als,Y,0.7803,0.1098,3,0.2411,0.5879,0.6014,0.3973,0.4299,1,0.8,0,0,MAPK signaling,0
GB-PAR-PLA-11323,TMEM230,planaria,Schmidtea mediterranea,parkinsons,2,0.4792,0.3208,5,0.5625,0.3036,0.0207,0.7146,0.2485,2,0.99,0,0,MAPK signaling,0
GB-PAR-MOU-9670,EIF4G1,mouse,Mus musculus,parkinsons,3,0.9266,0.1947,3,0.0634,0.7918,0.084,0.4347,0.1446,2,0.85,0,0,NF-kB,0
GB-DEA-GEC-15559,PCDH15,gecko,Gekko gecko,deafness,15,0.6811,0.2819,1,0.4103,0.5222,0.0995,0.3386,0.2005,3,0.82,0,0,Oxidative phosphorylation,0
GB-PAR-OCT-11625,EIF4G1,octopus,Octopus vulgaris,parkinsons,14,0.5654,0.3703,1,0.2019,0.4144,0.272,0.2241,0.7685,0,0.85,0,0,MAPK signaling,1
GB-RET-AXO-5632,ROM1,axolotl,Ambystoma mexicanum,retinal_degeneration,8,0.6523,0.1733,8,0.2517,0.547,0.3004,0.3818,0.2991,3,0.95,0,0,FoxO signaling,0
GB-MUS-SHE-2726,COLQ,sheep,Ovis aries,muscular_dystrophy,19,0.9409,0.1567,4,0.0904,0.6953,0.1234,0.1617,0.3236,0,0.82,0,0,FoxO signaling,0
GB-SPI-PIG-0103,KLF4,pig,Sus scrofa,spinal_cord_injury,18,0.7934,0.1932,3,0.3039,0.6084,0.369,0.5067,0.6958,1,0.84,0,0,mTOR,0
GB-RET-HOR-5466,ABCA4,horse,Equus caballus,retinal_degeneration,8,0.8644,0.4314,7,0.1186,0.6492,0.4134,0.6257,0.4816,1,0.8,0,0,Autophagy,0
GB-DIA-OCT-18620,IRS1,octopus,Octopus vulgaris,diabetes,7,0.4628,0.3632,3,0.3823,0.3149,0.345,0.0688,0.237,1,0.85,0,0,Autophagy,0
GB-HEA-SHE-7515,TNNI3,sheep,Ovis aries,heart_disease,19,0.9085,0.4059,1,0.1767,0.6801,0.145,0.1304,0.5571,3,0.82,0,0,TGF-beta,0
GB-SPI-TAR-2140,ARG1,tardigrade,Ramazzottius varieornatus,spinal_cord_injury,16,0.4091,0.0852,7,0.532,0.3512,0.2474,0.177,0.2764,3,0.91,0,0,Glycolysis,0
GB-SPI-PIG-0042,STAT3,pig,Sus scrofa,spinal_cord_injury,22,0.7962,0.2434,2,0.1689,0.6993,0.4859,0.1772,0.1465,2,0.84,0,0,FoxO signaling,0
GB-DEA-PIG-14092,COCH,pig,Sus scrofa,deafness,9,0.8166,0.3173,4,0.2728,0.7274,0.2037,0.6914,0.1689,3,0.84,0,0,Apoptosis,0
GB-SPI-OCT-2298,GAP43,octopus,Octopus vulgaris,spinal_cord_injury,12,0.4924,0.3171,5,0.3525,0.395,0.6054,0.22,0.2724,1,0.85,0,0,Wnt signaling,0
GB-SPI-PIG-0057,NT3,pig,Sus scrofa,spinal_cord_injury,9,0.7598,0.3461,3,0.2296,0.5901,0.2365,0.0682,0.3167,1,0.84,0,0,Hippo signaling,0
GB-SPI-MOU-0273,TNF,mouse,Mus musculus,spinal_cord_injury,2,0.8057,0.1225,9,0.2051,0.6761,0.1424,0.2271,0.4868,0,0.85,0,0,JAK-STAT,0
GB-DIA-TAR-18434,IRS1,tardigrade,Ramazzottius varieornatus,diabetes,2,0.3379,0.1957,4,0.0455,0.2797,0.3207,0.5979,0.1668,2,0.91,0,0,MAPK signaling,0
GB-ALS-ZEB-12911,DCTN1,zebrafish,Danio rerio,als,6,0.8451,0.149,3,0.0456,0.6597,0.1955,0.1842,0.1094,2,0.88,0,0,Glycolysis,0
GB-HEA-NAK-8798,TNNT2,naked_mole_rat,Heterocephalus glaber,heart_disease,14,0.8519,0.0895,3,0.269,0.6981,0.1243,0.2626,0.1049,3,0.78,0,0,Notch signaling,0
GB-RET-SHE-5151,ABCA4,sheep,Ovis aries,retinal_degeneration,6,0.797,0.2825,7,0.3413,0.6489,0.3119,0.0598,0.1807,0,0.82,0,0,Oxidative phosphorylation,0
GB-MUS-PLA-4229,DOK7,planaria,Schmidtea mediterranea,muscular_dystrophy,21,0.4167,0.1406,5,0.3345,0.3417,0.3075,0.5416,0.277,0,0.99,0,0,PI3K-Akt,0
GB-PAR-GEC-10810,DNAJC13,gecko,Gekko gecko,parkinsons,20,0.6113,0.2042,1,0.4444,0.4644,0.0955,0.2163,0.1125,2,0.82,0,0,Oxidative phosphorylation,0
GB-MUS-NAK-4073,LAMA2,naked_mole_rat,Heterocephalus glaber,muscular_dystrophy,3,0.8039,0.3325,5,0.328,0.654,0.1835,0.2421,0.314,2,0.78,0,0,JAK-STAT,0
GB-RET-AXO-5706,RPGRIP1,axolotl,Ambystoma mexicanum,retinal_degeneration,17,0.705,0.1849,5,0.0909,0.5446,0.3573,0.1329,0.1907,3,0.95,0,0,FoxO signaling,0
GB-ALS-OCT-13868,OPTN,octopus,Octopus vulgaris,als,4,0.4582,0.2135,11,0.2876,0.4107,0.2489,0.5441,0.2378,3,0.85,0,0,cAMP signaling,0
GB-DEA-TAR-16079,OTOF,tardigrade,Ramazzottius varieornatus,deafness,18,0.4559,0.3388,5,0.3732,0.3987,0.1517,0.3385,0.267,3,0.91,0,0,Glycolysis,0
GB-PAR-SHE-9805,DNAJC13,sheep,Ovis aries,parkinsons,3,0.8388,0.2663,1,0.1004,0.6624,0.04,0.0268,0.5316,1,0.82,0,0,Hippo signaling,0
GB-ALS-PLA-13640,SETX,planaria,Schmidtea mediterranea,als,11,0.5804,0.2466,1,0.2,0.4771,0.308,0.244,0.2002,0,0.99,0,0,Apoptosis,0
GB-ALS-SAL-13054,MATR3,salamander,Pleurodeles waltl,als,20,0.678,0.1193,1,0.2698,0.5083,0.4204,0.3882,0.1081,3,0.9,0,0,Wnt signaling,0
GB-DEA-MOU-14340,CDH23,mouse,Mus musculus,deafness,18,0.9833,0.3055,5,0.4141,0.7564,0.1663,0.456,0.2691,1,0.85,0,0,TGF-beta,0
GB-PAR-GEC-10934,FBXO7,gecko,Gekko gecko,parkinsons,14,0.6259,0.3329,4,0.181,0.5252,0.205,0.1218,0.5195,2,0.82,0,0,Autophagy,0
GB-ALS-HOR-12439,VCP,horse,Equus caballus,als,1,0.7703,0.4179,2,0.3109,0.5959,0.063,0.2017,0.1166,1,0.8,0,0,TGF-beta,0
GB-ALS-BAB-12377,VCP,baboon,Papio anubis,als,5,0.99,0.4061,6,0.3042,0.8242,0.3424,0.5038,0.1577,0,0.94,0,0,Hedgehog,0
GB-HEA-BAB-7724,MYBPC3,baboon,Papio anubis,heart_disease,22,0.99,0.1522,3,0.0539,0.7965,0.1095,0.3173,0.8126,2,0.94,0,0,FoxO signaling,0
GB-DIA-ZEB-17486,GCK,zebrafish,Danio rerio,diabetes,2,0.723,0.815,17,0.8325,0.5525,0.8086,0.9131,0.5824,3,0.88,0,0,Notch signaling,0
GB-DEA-SHE-14575,ESPN,sheep,Ovis aries,deafness,11,0.824,0.2266,4,0.3604,0.6954,0.2116,0.3662,0.0887,1,0.82,0,0,TGF-beta,1
GB-HEA-OCT-9222,RYR2,octopus,Octopus vulgaris,heart_disease,7,0.4429,0.3075,4,0.5169,0.2921,0.1686,0.6721,0.8414,3,0.85,0,0,Calcium signaling,1
GB-MUS-SHE-2714,DMD,sheep,Ovis aries,muscular_dystrophy,15,0.99,0.99,29,0.7771,0.8261,0.7176,0.967,0.7533,2,0.82,0,0,Apoptosis,1
GB-RET-SHE-5174,CEP290,sheep,Ovis aries,retinal_degeneration,5,0.8495,0.2304,9,0.2033,0.6875,0.0345,0.3968,0.2765,1,0.82,0,0,Wnt signaling,0
GB-RET-OCT-6868,AIPL1,octopus,Octopus vulgaris,retinal_degeneration,12,0.5148,0.1878,2,0.4162,0.3836,0.1892,0.5061,0.094,0,0.85,0,0,Hedgehog,0
GB-DEA-GEC-15640,TRIOBP,gecko,Gekko gecko,deafness,Y,0.6916,0.1108,2,0.1659,0.5293,0.3475,0.7291,0.071,1,0.82,0,0,Calcium signaling,0
GB-SPI-SAL-1297,NGF,salamander,Pleurodeles waltl,spinal_cord_injury,Y,0.8048,0.1782,4,0.1258,0.6011,0.1745,0.5337,0.3879,2,0.9,0,0,DNA repair,0
GB-HEA-ZEB-8268,TPM1,zebrafish,Danio rerio,heart_disease,7,0.8063,0.4313,3,0.1965,0.6517,0.2146,0.4008,0.1684,2,0.88,0,0,PI3K-Akt,1
GB-DIA-MOU-16600,LEPR,mouse,Mus musculus,diabetes,5,0.99,0.3253,5,0.1687,0.876,0.1376,0.2331,0.3285,2,0.85,0,0,Hippo signaling,0
GB-HEA-BAB-7696,PLN,baboon,Papio anubis,heart_disease,2,0.9762,0.1695,4,0.3033,0.7276,0.0669,0.2663,0.1968,3,0.94,0,0,MAPK signaling,0
GB-ALS-AXO-12760,C9ORF72,axolotl,Ambystoma mexicanum,als,6,0.7136,0.3371,1,0.5431,0.6064,0.2221,0.7378,0.3995,0,0.95,0,0,Calcium signaling,1
GB-MUS-ZEB-3474,LARGE1,zebrafish,Danio rerio,muscular_dystrophy,3,0.7711,0.4372,8,0.1331,0.6283,0.1214,0.347,0.4375,1,0.88,0,0,JAK-STAT,0
GB-RET-SHE-5083,AIPL1,sheep,Ovis aries,retinal_degeneration,2,0.7233,0.159,4,0.6589,0.5994,0.1385,0.5048,0.2136,2,0.82,0,0,FoxO signaling,1
GB-RET-NAK-6346,CNGA3,naked_mole_rat,Heterocephalus glaber,retinal_degeneration,13,0.7223,0.1716,6,0.2715,0.5543,0.5938,0.097,0.1813,3,0.78,0,0,Apoptosis,0
