record_id,human_gene,donor_species,donor_sci_name,condition,chromosome,sequence_similarity,expression_correlation,protein_interaction_degree,go_term_overlap,conservation_score,disease_gene_association_score,synteny_score,regulatory_region_similarity,num_shared_go_terms,species_regen_score,known_therapy_target,in_clinical_trial,primary_pathway,target_label
GB-HEA-SHE-3098,RYR2,sheep,Ovis aries,heart_disease,21,0.9201,0.6808,18,0.9749,0.7247,0.8299,0.8584,0.698,2,0.82,0,0,MAPK signaling,1
GB-RET-HOR-2531,PRPH2,horse,Equus caballus,retinal_degeneration,6,0.8778,0.7473,26,0.7789,0.6933,0.6537,0.6854,0.7598,2,0.8,0,0,Notch signaling,1
GB-PAR-SHE-4071,CHCHD2,sheep,Ovis aries,parkinsons,9,0.8568,0.108,4,0.3419,0.6982,0.196,0.3153,0.2525,0,0.82,0,0,Wnt signaling,0
GB-MUS-SHE-1287,TRIM32,sheep,Ovis aries,muscular_dystrophy,14,0.9255,0.8991,14,0.5429,0.767,0.6859,0.2953,0.7318,2,0.82,0,0,Calcium signaling,1
GB-RET-HOR-2540,RPE65,horse,Equus caballus,retinal_degeneration,1,0.9779,0.8959,36,0.7257,0.8618,0.6356,0.8235,0.6666,6,0.8,0,0,Autophagy,1
GB-SPI-MOU-0263,KLF4,mouse,Mus musculus,spinal_cord_injury,8,0.833,0.2285,2,0.1026,0.6879,0.1435,0.1782,0.3771,0,0.85,0,0,Notch signaling,0
GB-DEA-HOR-6123,MYO7A,horse,Equus caballus,deafness,16,0.8977,0.7341,24,0.947,0.6731,0.8447,0.5196,0.7347,5,0.8,1,0,Calcium signaling,1
GB-RET-BAB-2439,NRL,baboon,Papio anubis,retinal_degeneration,2,0.8982,0.2588,1,0.1877,0.7335,0.1881,0.2532,0.2572,3,0.94,0,0,Calcium signaling,0
GB-PAR-PIG-3749,HTRA2,pig,Sus scrofa,parkinsons,8,0.7719,0.3694,4,0.4449,0.5971,0.5707,0.3024,0.3122,0,0.84,0,0,Wnt signaling,0
GB-MUS-MOU-1199,LARGE1,mouse,Mus musculus,muscular_dystrophy,X,0.9648,0.1423,1,0.206,0.7344,0.1306,0.0709,0.0388,3,0.85,0,0,Notch signaling,0
GB-RET-PIG-1839,GUCY2D,pig,Sus scrofa,retinal_degeneration,18,0.9881,0.6424,20,0.8284,0.7856,0.7628,0.547,0.4321,6,0.84,0,0,cAMP signaling,1
GB-RET-MOU-2024,ABCA4,mouse,Mus musculus,retinal_degeneration,14,0.8688,0.8673,20,0.8004,0.7208,0.8409,0.9121,0.4404,3,0.85,0,0,Apoptosis,1
GB-RET-SHE-2226,AIPL1,sheep,Ovis aries,retinal_degeneration,11,0.8539,0.3956,7,0.0955,0.6367,0.3464,0.0806,0.3025,2,0.82,0,0,Glycolysis,0
GB-HEA-MOU-2939,SCN5A,mouse,Mus musculus,heart_disease,17,0.8958,0.2719,3,0.2937,0.6253,0.4788,0.2375,0.2042,0,0.85,0,0,Hippo signaling,0
GB-PAR-PIG-3641,SNCA,pig,Sus scrofa,parkinsons,6,0.8205,0.7584,8,0.7188,0.6117,0.5385,0.7162,0.8107,3,0.84,0,0,PI3K-Akt,1
GB-RET-SHE-2215,PRPH2,sheep,Ovis aries,retinal_degeneration,9,0.7547,0.5735,12,0.5979,0.585,0.5911,0.4621,0.329,2,0.82,1,0,mTOR,1
GB-DIA-HOR-7094,TCF7L2,horse,Equus caballus,diabetes,10,0.8386,0.9607,14,0.5171,0.696,0.8057,0.9358,0.3713,6,0.8,0,0,PI3K-Akt,1
GB-MUS-PIG-0997,SGCD,pig,Sus scrofa,muscular_dystrophy,Y,0.8926,0.1831,5,0.0668,0.7778,0.2416,0.2472,0.1099,2,0.84,0,0,JAK-STAT,0
GB-MUS-PIG-1033,CAPN3,pig,Sus scrofa,muscular_dystrophy,21,0.7607,0.4069,8,0.1349,0.6157,0.3522,0.1065,0.3191,2,0.84,0,0,FoxO signaling,0
GB-HEA-MOU-2899,LMNA,mouse,Mus musculus,heart_disease,18,0.8676,0.8546,25,0.7354,0.6668,0.7575,0.8586,0.3047,7,0.85,0,0,JAK-STAT,1
GB-HEA-PIG-2748,KCNH2,pig,Sus scrofa,heart_disease,Y,0.9296,0.6722,27,0.6447,0.7511,0.8718,0.8926,0.6399,4,0.84,1,1,Hedgehog,1
GB-PAR-SHE-4087,CHCHD2,sheep,Ovis aries,parkinsons,18,0.8707,0.21,3,0.0969,0.7357,0.3895,0.3469,0.5003,2,0.82,0,0,mTOR,0
GB-HEA-SHE-3125,MYBPC3,sheep,Ovis aries,heart_disease,19,0.99,0.7215,19,0.7504,0.7524,0.6736,0.4394,0.5063,4,0.82,0,0,JAK-STAT,1
GB-RET-HOR-2533,ABCA4,horse,Equus caballus,retinal_degeneration,15,0.9,0.7265,15,0.8705,0.7112,0.631,0.9023,0.8643,2,0.8,0,0,cAMP signaling,1
GB-DIA-PIG-6332,PDX1,pig,Sus scrofa,diabetes,20,0.9177,0.9765,26,0.8974,0.7177,0.6812,0.8311,0.3119,3,0.84,0,0,PI3K-Akt,1
GB-RET-HOR-2534,CNGA3,horse,Equus caballus,retinal_degeneration,8,0.915,0.6189,27,0.3867,0.7133,0.4498,0.7872,0.5735,3,0.8,1,0,mTOR,1
GB-SPI-BAB-0642,OMG,baboon,Papio anubis,spinal_cord_injury,20,0.99,0.3535,2,0.0286,0.7763,0.1874,0.2369,0.3744,0,0.94,0,0,Glycolysis,0
